0,7565727
0,6368434
0,7715281
0,971411
1,098246
0,7370838
0,8894573
1,273259
1,220428
1,464556
2,159291
1,666351
1,728232
2,319611
2,065559
2,526864
2,24749
1,958055
2,233932
2,818558
3,549849
3,925459
4,029962
4,917966
6,690959
4,419811
6,013194
8,361835
5,678329
4,695014
3,59412
5,052214
5,662168
4,392278
4,455091
4,837361
4,292777
5,744222
3,782134
2,316969
3,211435
4,600981
2,873223
2,503536
3,156486
2,881378
3,871859
3,889234
5,171104
4,099368
3,787375
4,867227
6,791293
9,836343
7,261917
5,627376
4,793727
6,52127
8,588473
9,301214
11,06607
11,72961
10,70979
9,860618
8,089194
8,368292
7,632873
5,353981
5,571045
7,221594
7,778565
10,31898
7,310627
6,706599
5,015657
5,194512
4,758331
7,121268
6,837198
7,932806
5,153836
6,872135
6,301595
9,124897
5,566411
7,729859
6,759133
9,137852
9,830236
6,513144
