0,8080977
0,7547219
1,06116
1,090001
1,26788
1,627805
1,356468
1,072222
1,286815
1,027414
1,448547
1,702926
1,571364
2,33427
2,526481
2,876538
2,567061
3,158475
3,918494
4,203134
3,048142
2,425919
2,180959
3,074663
3,419117
2,52105
3,288063
2,428418
2,619642
3,543914
2,907175
2,796841
3,488392
3,871787
5,260528
6,246468
6,081642
5,913723
5,310349
5,441337
3,910124
3,349455
2,69514
3,783821
5,485055
4,716299
4,068529
4,59517
5,170325
7,142102
6,378914
6,716636
7,662524
7,185122
7,891783
8,534675
5,882409
7,975834
6,764096
7,076161
7,965735
7,608583
11,17146
13,6016
13,74036
12,76308
15,45411
20,08355
12,37275
16,58219
19,08245
22,12526
31,80044
28,04655
20,40208
22,35112
14,96492
13,81452
8,663809
7,459978
7,109513
9,971684
10,59427
7,6185
6,364724
9,397718
6,466335
5,567693
7,686362
8,674232
