0,7823352
0,694595
0,9090566
1,039167
1,191799
1,164999
1,18832
1,320196
1,424917
1,423813
2,053325
1,999242
1,959136
2,769918
2,732275
3,226661
2,874716
3,020758
3,597001
4,198316
4,16612
3,96131
3,81404
5,015703
6,200772
4,334043
5,774576
6,147432
5,403043
5,888382
4,669037
5,527524
6,544565
6,170313
7,321024
8,321177
7,742997
8,945107
6,961059
5,698586
5,996752
6,864177
4,904903
5,580005
7,562074
6,702602
7,394329
7,88949
9,683401
10,52639
9,563406
11,17992
14,17691
16,91357
15,53194
14,41658
11,10866
15,08698
16,33216
17,38659
20,12897
20,2812
24,14809
25,81722
23,62992
23,19724
24,62344
24,63572
20,40585
26,89993
29,96524
37,24752
39,96203
35,95247
26,52043
28,26005
22,40412
27,10581
21,51201
21,74103
17,42225
23,83351
23,58819
25,55951
18,47256
26,46372
20,6747
22,87608
28,09526
25,1605
